,French,English
0,je,I
1,de,of
2,est,East
3,pas,not
4,le,THE
5,la,there
6,tu,you
7,que,that
8,un,A
9,il,he
10,et,And
11,à,has
12,a,has
13,ne,born
14,les,THE
15,ce,This
16,en,in
17,on,we
18,ça,That
19,une,a
20,ai,ai
21,pour,For
22,des,of the
23,moi,Me
24,qui,Who
25,nous,We
26,y,y
27,mais,but
28,me,me
29,dans,In
30,du,of
31,bien,GOOD
32,elle,She
33,si,if
34,tout,All
35,plus,more
36,non,No
37,mon,My
38,suis,am
39,te,you
40,au,At
41,avec,with
42,va,go
43,oui,Yes
44,toi,You
45,fait,do
46,ils,they
47,as,ace
48,être,be
49,faire,TO DO
50,se,se
51,comme,as
52,était,was
53,sur,on
54,quoi,What
55,ici,here
56,sais,know
57,lui,him
58,veux,want
59,ma,my
60,là,there
61,rien,Nothing
62,dit,said
63,es,are
64,où,Or
65,votre,your
66,pourquoi,Why
67,sont,are
68,cette,this
69,quand,When
70,par,by
71,son,her
72,ton,your
73,peux,can
74,vais,go
75,dire,say
76,alors,SO
77,comment,how
78,avez,have
79,bon,Good
80,ou,Or
81,très,very
82,merci,THANKS
83,ont,have
84,même,even
85,jamais,Never
86,aussi,Also
87,voir,see
88,chose,thing
89,allez,Go on
90,tous,all
91,deux,two
92,ces,these
93,faut,must
94,sa,its
95,êtes,are
96,été,summer
97,ta,your
98,fais,do 
99,avoir,to have
100,peut,can
101,autre,other
102,m,m
103,encore,Again
104,maintenant,NOW
105,peu,little
106,mes,my
107,vraiment,Really
108,temps,time
109,notre,OUR
110,toujours,always
111,vie,life
112,sans,without
113,juste,just
114,oh,Oh
115,avait,had
116,accord,agreement
117,vu,seen
118,monde,world
119,quelque,some
120,fois,times
121,aller,go
122,trop,too much
123,viens,come
124,crois,believe
125,dieu,God
126,dois,have to
127,homme,man
128,père,father
129,sûr,on
130,aux,to
131,leur,their
132,avant,Before
133,étais,was
134,besoin,need
135,femme,women
136,aime,love
137,personne,person
138,avais,had
139,chez,at the house of
140,vrai,TRUE
141,ans,years
142,mal,wrong
143,ses,his
144,parler,talk
145,vos,your
146,après,After
147,mort,dead
148,veut,wanna
149,eu,had
150,sera,will be
151,bonne,Good
152,parce,because
153,mieux,better
154,petit,little
155,voilà,There
156,tes,your 
157,ca,That
158,dis,say
159,beaucoup,a lot
160,depuis,Since
161,doit,must
162,vois,see 
163,mère,mother
164,vas,go
165,monsieur,Sir
166,quel,what
167,déjà,Already
168,fille,girl
169,gens,people
170,donc,SO
171,jour,day
172,soir,evening
173,autres,others
174,toute,all
175,bonjour,Good morning
176,maison,House
177,nom,name
178,argent,money
179,nos,our
180,ouais,Yeah
181,pense,think
182,merde,shit
183,nuit,night
184,cela,that
185,salut,Hi
186,cet,this
187,avons,have
188,reste,stay
189,désolé,Sorry
190,maman,Mom
191,peur,fear
192,arrive,arrived
193,seul,alone
194,vite,quickly
195,prendre,take
196,regarde,look at
197,air,air
198,soit,either
199,trois,three
200,quelle,what
201,passé,pass
202,savoir,know
203,plaît,please
204,choses,things
205,moins,less
206,fils,son
207,entre,between
208,bas,down
209,appelle,calls
210,passe,pass
211,ah,oh
212,tête,head
213,demain,tomorrow
214,grand,big
215,arrête,stop
216,faites,do
217,voulez,want
218,hé,Hey
219,attends,wait
220,hein,eh
221,enfants,children
222,assez,enough
223,raison,reason
224,aurais,would have
225,voulais,wanted
226,elles,they
227,parle,speak
228,ok,ok
229,jours,days
230,dû,of
231,moment,moment
232,heure,hour
233,puis,Then
234,gars,guys
235,hommes,men
236,amour,love
237,tard,late
238,toutes,all
239,sommes,are
240,tuer,kill
241,eh,eh
242,ami,friend
243,connais,know
244,petite,small
245,aider,help
246,chance,chance
247,savez,know
248,partir,leave
249,sait,knows
250,combien,How much
251,voiture,car
252,tant,so much
253,pris,taken
254,part,leaves
255,problème,issue
256,prends,take
257,porte,door
258,coup,cut
259,serait,would be
260,venir,come
261,famille,family
262,travail,work
263,pu,could
264,seule,alone
265,sens,sense
266,ni,neither
267,allons,let's go
268,revoir,goodbye
269,idée,idea
270,passer,pass
271,contre,against
272,comprends,understand
273,entendu,heard
274,trouvé,find
275,trouver,find
276,vieux,old
277,vient,come
278,pendant,during
279,aurait,would have
280,quelques,a few
281,attention,attention
282,demande,request
283,chercher,seek
284,sous,below
285,voici,here is
286,pourrait,could
287,sang,blood
288,pouvez,can
289,sortir,to go out
290,question,question
291,histoire,history
292,amis,friends
293,venez,come
294,frère,brother
295,rester,stay
296,fini,finished
297,ville,city
298,nouveau,new
299,truc,thing
300,tiens,hold
301,mois,month
302,eux,them
303,mec,dude
304,yeux,eyes
305,laisse,leave alone
306,super,great
307,belle,beautiful
308,longtemps,a long time
309,police,police
310,eau,water
311,heures,hours
312,car,because
313,importe,imported
314,cas,case
315,vont,are going
316,chaque,each
317,terre,earth
318,place,place
319,tué,killed
320,type,kind
321,main,hand
322,pardon,pardon
323,ensemble,together
324,seulement,only
325,guerre,war
326,beau,beautiful
327,vers,towards
328,prie,pray
329,devant,in front
330,trouve,find
331,partie,part
332,suite,following
333,compris,Understood
334,matin,Morning
335,leurs,their
336,aucun,none
337,arrivé,arrived
338,dessus,above
339,chérie,Dear
340,mettre,put
341,aide,help
342,étaient,were
343,perdu,lost
344,fin,END
345,sois,be
346,premier,first
347,genre,gender
348,aimerais,would like
349,droit,right
350,donne,given
351,attendez,wait
352,jeune,young
353,feu,fire
354,devrais,should
355,enfant,child
356,chambre,bedroom
357,gros,fat
358,côté,side
359,venu,came
360,loin,far
361,laisser,to leave 
362,donner,give
363,jouer,play
364,savais,knew
365,compte,account
366,s,s
367,parlé,speak
368,minutes,minutes
369,regardez,look
370,train,train
371,première,first
372,pouvoir,power
373,aura,will have
374,mourir,die
375,dernière,last
376,donné,given
377,mari,husband
378,écoute,listen
379,enfin,Finally
380,devrait,should
381,mis,put
382,film,movie
383,aucune,none
384,fort,strong
385,façon,way
386,pays,country
387,prêt,ready
388,madame,Mrs
389,femmes,women
390,affaire,affair
391,pourrais,could
392,espère,hope
393,parti,party
394,h,h
395,boulot,job
396,endroit,place
397,fou,mad
398,corps,body
399,hier,yesterday
400,dont,of which
401,désolée,Sorry
402,grande,big
403,point,point
404,cinq,five
405,cause,cause
406,vivre,live
407,près,close
408,pensais,thought
409,garçon,boy
410,chef,chief
411,haut,high
412,capitaine,captain
413,dirait,would say
414,bébé,baby
415,celui,the one
416,demandé,request
417,possible,possible
418,mains,hands
419,ainsi,Thus
420,quatre,four
421,nouvelle,new
422,années,years
423,plein,full
424,semaine,week
425,dites,say
426,croire,believe
427,marche,walk
428,tour,round
429,école,school
430,manger,eat
431,plutôt,instead
432,docteur,doctor
433,ceux,those
434,vérité,truth
435,vue,view
436,arrêter,Stop
437,essaie,try
438,envie,envy
439,bientôt,Soon
440,instant,moment
441,dernier,last
442,affaires,business
443,arriver,arrive
444,demander,ask
445,meilleur,best
446,font,make
447,derrière,behind
448,c,c
449,dollars,dollars
450,presque,almost
451,dr,Dr.
452,tellement,such
453,tomber,to fall
454,journée,daytime
455,voulait,wanted
456,appeler,to call
457,bureau,desk
458,confiance,trust
459,garde,guard
460,attendre,to wait for
461,numéro,number
462,serai,will be
463,dur,hard
464,á,has
465,souviens,remember
466,o,o
467,voyez,see
468,cours,course
469,bonsoir,Good evening
470,route,road
471,fera,will do
472,prend,takes
473,cul,ass
474,abord,on board
475,important,important
476,peine,penalty
477,croyais,believed
478,mot,word
479,devez,must
480,suffit,enough
481,minute,minute
482,ferme,farm
483,ben,well
484,plaisir,pleasure
485,chien,dog
486,jeu,game
487,seigneur,lord
488,messieurs,gentlemen
